Age_kyr,IBR_Full_dataset,IBR_20kyr_ensemble_mean,IBR_20kyr_empirical_lower_95,IBR_20kyr_empirical_upper_95,IBR_50kyr_ensemble_mean,IBR_50kyr_empirical_lower_95,IBR_50kyr_empirical_upper_95,IBR_100kyr_ensemble_mean,IBR_100kyr_empirical_lower_95,IBR_100kyr_empirical_upper_95
500.0,0.00022651306674651382,0.0002334068666666664,7.16378333333338e-05,0.0003775173333333337,0.00023642475000000006,7.2987499999998655e-06,0.0005205374999999998,0.00031771283333333343,2.1404999999999633e-05,0.0007034650000000013
510.0,0.0002198328240498224,0.00023335110630611205,6.555397645211902e-05,0.0003721776376242811,0.00023769830137844623,7.933750000000117e-06,0.0005192187499999996,0.00031473138215488234,2.097166666666779e-05,0.0007034650000000013
520.0,0.00021333662761323423,0.0002340468153846153,7.522041025641082e-05,0.0003798102179487182,0.00023513078571428585,7.246620813397109e-06,0.0005231523809523804,0.00031051480303030335,2.9830555555555323e-05,0.0007034650000000013
530.0,0.0002123791244573887,0.00023661838633926499,7.560588461538477e-05,0.0003674830687830695,0.00023717507106782104,8.26499999999848e-06,0.0005144312599681012,0.000309448974747475,2.3571843434343287e-05,0.0006935175000000007
540.0,0.00023492449792095283,0.00025151730493827156,9.90334629629635e-05,0.0003897070370370375,0.00025078243646996283,1.8494772727271404e-05,0.0005421609193438136,0.0003208444393939395,2.442424242424095e-05,0.0006934632575757582
550.0,0.0002449019041911136,0.00026641469600951475,0.00011834399673202563,0.00040444584945089176,0.00025520530303030316,1.7011022727272996e-05,0.0005499981818181813,0.00032828560101010105,2.442424242424095e-05,0.0007298636363636365
560.0,0.0002457537329751345,0.00026851822380952374,0.00012436922619047628,0.00040665865476190524,0.0002572187713981926,1.7011022727272996e-05,0.0005531335064935072,0.00032907475757575755,2.442424242424095e-05,0.0007298636363636365
570.0,0.00024406548675105988,0.0002694138557733437,0.00012654526595120777,0.0003880737123297598,0.00026098493671679194,2.397206168831205e-05,0.0005486878409090917,0.00033285199326599344,2.442424242424095e-05,0.0007162333333333337
580.0,0.00022152731306408579,0.0002497549068965518,0.00012295184482758562,0.000384038505747127,0.0002408058734525707,1.48169517543862e-05,0.0005222720508658009,0.0003267413417508419,2.3422727272728074e-05,0.0007162333333333337
590.0,0.0002196333407279587,0.0002497266978717923,0.0001128088036363973,0.000389174344852883,0.00024294888488266112,1.5476004784690645e-05,0.0005485995833333341,0.0003239448080808082,2.3422727272728074e-05,0.0006984475000000016
600.0,0.00021961678389522188,0.00025254984444444435,0.00012096794444444502,0.0003871717777777766,0.00024318252777777782,1.6511249999999846e-05,0.0005493318055555558,0.0003205585555555557,1.895027777777789e-05,0.0006982391666666682
610.0,0.00021536026260374097,0.00025263867287215965,0.00012998812365591362,0.0003872682777777782,0.0002425073931623931,1.2633638663968449e-05,0.0005480308333333325,0.00031814290331890356,1.6045000000001067e-05,0.0006982391666666682
620.0,0.00019586754207453528,0.0002444235860215055,0.00011426231720430201,0.00037214934946236535,0.00023465142571171507,1.208313492063411e-05,0.0004963312061403502,0.000309100093795094,1.608636363636471e-05,0.0006930250000000008
