Age_kyr,IQR_Full_dataset,IQR_20kyr_ensemble_mean,IQR_20kyr_empirical_lower_95,IQR_20kyr_empirical_upper_95,IQR_50kyr_ensemble_mean,IQR_50kyr_empirical_lower_95,IQR_50kyr_empirical_upper_95,IQR_100kyr_ensemble_mean,IQR_100kyr_empirical_lower_95,IQR_100kyr_empirical_upper_95
0,0.6699999999999999,0.6507583333333333,0.41000000000000014,0.8700000000000001,0.6088625,0.24390624999999924,0.9574999999999996,0.5068583333333333,0.07975000000000008,1.1552500000000014
10,0.6625000000000005,0.6502020833333333,0.41000000000000014,0.8700937500000001,0.6082479166666664,0.2548749999999999,0.9582500000000002,0.5029375,0.07975000000000008,1.1552500000000014
20,0.6600000000000001,0.6457166666666668,0.42215625000000034,0.8390937500000002,0.6049979166666666,0.2548749999999999,0.9582500000000002,0.5064,0.07975000000000008,1.1552500000000014
30,0.6600000000000001,0.642879166666667,0.4224375000000003,0.8390937500000002,0.6024333333333332,0.2687187500000007,0.9580625000000002,0.5100270833333334,0.07975000000000008,1.1508125000000005
40,0.6500000000000004,0.6401083333333334,0.4197499999999999,0.8251875000000011,0.5982499999999998,0.27481250000000035,0.98,0.5129437499999999,0.08000000000000093,1.1508125000000005
50,0.6500000000000004,0.6289583333333333,0.41481250000000003,0.8150624999999996,0.5908333333333333,0.27481250000000035,0.9801875000000004,0.5120562499999997,0.10925000000000122,1.1508125000000005
60,0.6400000000000006,0.6216854166666665,0.41478125,0.8027500000000003,0.5887083333333333,0.27481250000000035,0.9800625000000005,0.5101041666666665,0.10925000000000122,1.1508125000000005
70,0.6500000000000004,0.6195249999999998,0.4271875000000002,0.8051874999999997,0.5858291666666666,0.27481249999999946,0.9800625000000005,0.5149041666666665,0.11974999999999927,1.1508125000000005
80,0.6499999999999995,0.63865,0.43975000000000036,0.8502500000000006,0.5995583333333332,0.27500000000000036,0.9800625000000005,0.5279854166666663,0.11974999999999927,1.1508125000000005
90,0.6474999999999991,0.6338000000000001,0.4237187500000009,0.8414687500000001,0.5992895833333334,0.27500000000000036,0.9800625000000005,0.5269645833333331,0.12000000000000008,1.1280625000000002
100,0.6399999999999997,0.6256187499999999,0.42237500000000033,0.8201250000000003,0.588675,0.2859687499999999,0.9687812499999996,0.5274337500000001,0.1200000000000001,1.075968749999999
110,0.6387499999999999,0.6251341666666668,0.42237500000000033,0.812625,0.58646875,0.2748749999999995,0.9602187500000005,0.5307433333333332,0.1297499999999999,1.0262500000000006
120,0.6500000000000004,0.6395274999999997,0.4599374999999991,0.8149999999999991,0.5972429166666663,0.2798750000000002,0.9602187500000005,0.5448495833333333,0.14706249999999998,1.0481874999999996
130,0.6600000000000001,0.6410091666666667,0.4599374999999991,0.8174999999999999,0.5971566666666664,0.2798750000000002,0.9502500000000003,0.5481995833333334,0.14950000000000035,1.0481874999999996
140,0.6775000000000002,0.6473408333333335,0.4847500000000003,0.8175625000000007,0.6086816666666666,0.28975000000000006,0.9502500000000003,0.5521787499999999,0.17453124999999897,1.0481874999999996
150,0.6912499999999993,0.6533141666666666,0.47987499999999955,0.8499999999999996,0.6132649999999998,0.28487500000000016,0.9607500000000005,0.5615374999999998,0.18475000000000047,1.0481874999999996
160,0.6950000000000003,0.6588100000000003,0.4848750000000003,0.8402499999999999,0.6160341666666665,0.28487500000000016,0.9161250000000003,0.5675304166666666,0.18475000000000047,1.0753749999999989
