Age_kyr,TS_Full_dataset,TS_20kyr_ensemble_mean,TS_20kyr_empirical_lower_95,TS_20kyr_empirical_upper_95,TS_50kyr_ensemble_mean,TS_50kyr_empirical_lower_95,TS_50kyr_empirical_upper_95,TS_100kyr_ensemble_mean,TS_100kyr_empirical_lower_95,TS_100kyr_empirical_upper_95
0,0.0004071454018016188,0.0005373618766831903,1.260606273506765e-05,0.001369133808604338,0.0009513420284900452,8.253948765947697e-05,0.0023818438805739933,0.0013453349910690579,6.317483873032505e-05,0.004051245841422076
10,0.0004748950211929474,0.0005489788876435992,1.585800068721589e-05,0.0012868743968290242,0.0009304437481401103,7.434797504491793e-05,0.0023505875686584037,0.0012940280715577788,6.317483873032505e-05,0.003815613909322712
20,0.0005491068657457555,0.0005651222962140281,3.4228284948713244e-05,0.0012852813702183556,0.0009094335072880823,6.344134155055004e-05,0.0023505875686584037,0.0012916485249410167,6.386037471668515e-05,0.003815613909322712
30,0.0005650994575045171,0.0005802201977951865,5.0829304898011567e-05,0.0012375223188423202,0.0008920796090661411,6.344134155055004e-05,0.0021216493864582874,0.0012373667026929199,5.456253371998708e-05,0.003517816670068552
40,0.0003307009166012084,0.00048673288047619263,0.0,0.0011801996975469855,0.000764694655700117,0.0,0.001981415525863069,0.0011933780394680733,5.456253371998708e-05,0.003517816670068552
50,0.00026913251938914817,0.00041481346525575595,1.3475514544132051e-05,0.0010434834469810646,0.0007123032094384099,2.3826863016309297e-05,0.0018156773960837898,0.0011082905604310723,6.351814150075573e-05,0.0030608567810014842
60,0.00027870680044592903,0.0004044929822224568,1.2667497642841404e-05,0.0010270821852164617,0.0006913137801035471,2.3826863016309297e-05,0.0018156773960837898,0.0010943716436054769,6.351814150075573e-05,0.0030608567810014842
70,0.00031910777466204524,0.000417311294476367,9.122437914165857e-06,0.0010518294459174577,0.0006979680351979489,2.659764001780235e-05,0.0016843591843114466,0.0010601521030853195,6.351814150075573e-05,0.003031662521860271
80,0.0004487189075190331,0.0005029893142645701,2.3217272378972457e-05,0.0012102637980443312,0.0007630258631001366,2.659764001780235e-05,0.0018865859604560165,0.0010627949317283814,6.351814150075573e-05,0.0030120841467962955
90,0.00045558086560364516,0.0005018867480855026,2.9560756676020993e-05,0.0012102339517563211,0.0007490012101017445,2.3958637822653038e-05,0.0018865859604560165,0.0010293073478777643,6.444236617154756e-05,0.0030120841467962955
