Age_kyr,IQR_Full_dataset,IQR_20kyr_ensemble_mean,IQR_20kyr_empirical_lower_95,IQR_20kyr_empirical_upper_95,IQR_50kyr_ensemble_mean,IQR_50kyr_empirical_lower_95,IQR_50kyr_empirical_upper_95,IQR_100kyr_ensemble_mean,IQR_100kyr_empirical_lower_95,IQR_100kyr_empirical_upper_95
0,0.35250000000000004,0.3602249999999998,0.04981250000000068,0.7600000000000002,0.0,0.0,0.0,0.0,0.0,0.0
10,0.27000000000000046,0.38593749999999977,0.07487499999999932,0.7600000000000007,0.05317500000000001,0.0,0.43150000000000005,0.0,0.0,0.0
20,0.2674999999999992,0.3373625,0.07493750000000017,0.7099999999999991,0.09502499999999997,0.0,0.556125,0.0,0.0,0.0
30,0.33749999999999947,0.3350125,0.09371874999999999,0.7003125000000002,0.14007499999999998,0.0,0.5610000000000007,0.0,0.0,0.0
40,0.3949999999999996,0.3829937499999999,0.08974999999999984,0.7634374999999995,0.19243750000000007,0.0,0.6003749999999998,0.0,0.0,0.0
50,0.40500000000000025,0.3741499999999999,0.07000000000000028,0.7610000000000009,0.232425,0.004999999999999893,0.6003749999999998,0.0,0.0,0.0
60,0.40000000000000036,0.38824999999999976,0.1199375000000001,0.7304999999999997,0.2480702083333333,0.004999999999999893,0.5868749999999996,0.032775000000000006,0.0,0.35499999999999954
70,0.45999999999999996,0.42529999999999984,0.1098750000000003,0.7705000000000005,0.24831541666666662,0.014874999999998842,0.5230625000000008,0.0471590909090909,0.0,0.35518749999999955
80,0.5449999999999999,0.41320833333333346,0.09959374999999966,0.6907499999999996,0.27833145833333317,0.024874999999999495,0.6608749999999999,0.09301992030782352,0.0,0.5701249999999994
90,0.5550000000000006,0.42351666666666665,0.08999999999999986,0.7005000000000011,0.2745225000000001,0.024874999999999495,0.65025,0.11042481064938331,0.0,0.5761477272727281
100,0.6100000000000003,0.4913020833333333,0.11950000000000013,0.8707500000000002,0.26488333333333325,0.01731250000000009,0.6499999999999999,0.12721892558141656,0.0,0.5707803030303026
110,0.7299999999999995,0.5307916666666662,0.08999999999999986,0.9105000000000002,0.2959016666666666,0.03475000000000013,0.7054375000000002,0.1321266938051117,0.0,0.5702878787878782
120,0.6174999999999997,0.47636458333333354,0.14937499999999948,0.9003750000000004,0.3086116666666665,0.039437500000000916,0.6900833333333337,0.13641449607265202,0.0,0.5551704545454543
130,0.665,0.5225166666666666,0.18949999999999953,0.8504999999999998,0.312059166666667,0.019937500000000455,0.6906250000000005,0.13936105462495918,0.0,0.5557499999999999
140,0.6749999999999998,0.48993541666666635,0.1097500000000003,0.8426875000000007,0.30562750000000016,0.02731250000000031,0.6906250000000005,0.14032963847488522,0.0,0.5555208333333331
150,0.7687499999999998,0.5276750000000001,0.07975000000000006,0.8504166666666664,0.30301250000000013,0.019937500000000455,0.6906250000000005,0.1419449854322283,0.0,0.5601666666666664
160,0.8675000000000006,0.6009187500000002,0.13968749999999971,0.9968750000000005,0.33661847222222235,0.03500000000000014,0.7167500000000007,0.15486866572290472,0.0,0.6153229166666669
170,0.9375,0.7031583333333334,0.12387500000000003,1.1700000000000004,0.3661223611111113,0.034875000000000135,0.7508750000000002,0.16008773291834302,0.0,0.6300208333333333
180,0.9325000000000001,0.6319375,0.07999999999999918,1.0704375000000004,0.3624700000000001,0.019958333333333814,0.7154583333333333,0.1846687784014194,0.0,0.6401250000000003
190,0.8025000000000002,0.5859666666666665,0.07991666666666589,0.98,0.33067666666666673,0.01829166666666773,0.6601250000000002,0.19088254158784498,0.0,0.6255000000000003
200,0.7675000000000001,0.5410687500000004,0.07999999999999918,0.980125,0.3069208333333335,0.014874999999999697,0.6015000000000008,0.19808217628048166,0.0,0.6280625000000005
210,0.7566666666666673,0.5454916666666669,0.07974999999999921,0.9902499999999999,0.3274187499999999,0.01829166666666773,0.5853750000000001,0.20835539206125542,0.0,0.6102500000000005
220,0.7949999999999999,0.5343354166666666,0.08333333333333347,0.9599999999999995,0.3516458333333334,0.016499999999999952,0.6005500000000007,0.2144225693921666,0.0,0.5900624999999998
230,0.8099999999999996,0.5724583333333333,0.08000000000000004,1.02025,0.35828333333333334,0.029874999999999798,0.6002500000000006,0.21905827344247733,0.0,0.573375
240,0.8100000000000005,0.55910625,0.1792500000000006,1.0000000000000004,0.34875416666666675,0.029874999999999798,0.6002500000000006,0.2197046325456208,0.0,0.55286875
250,0.7449999999999992,0.5531833333333335,0.1200000000000001,1.0205000000000002,0.33232500000000015,0.01000000000000022,0.6002500000000006,0.22047062489052266,0.0,0.5398781249999999
260,0.5649999999999995,0.44650833333333323,0.08924999999999988,0.9499999999999997,0.3213709722222222,0.01000000000000022,0.6101250000000004,0.22217411723542418,0.0,0.5270026315789473
270,0.5549999999999997,0.3902166666666666,0.059749999999999644,0.8709999999999999,0.32247319444444456,0.020000000000000462,0.6304583333333333,0.22532198458032585,0.0,0.55805
280,0.5649999999999995,0.4224187500000001,0.08999999999999986,0.8994062500000007,0.33829069444444465,0.02975000000000026,0.6652500000000001,0.24414006799082036,0.0,0.630575
290,0.6599999999999993,0.49672500000000014,0.08499999999999996,1.0010000000000003,0.37160055555555566,0.044374999999999956,0.7353750000000004,0.2603004749136541,0.0,0.6926874999999999
300,0.5650000000000004,0.47814375,0.124875,0.9302499999999998,0.3470875,0.012437500000001057,0.7353750000000004,0.26147081698933944,0.0,0.6926874999999999
310,0.5449999999999999,0.4930500000000002,0.124875,0.9100000000000001,0.3544420833333334,0.01737499999999923,0.7651249999999997,0.2613808091226282,0.0,0.6926874999999999
320,0.6400000000000006,0.4868437500000002,0.1459687500000002,0.8902500000000002,0.34525395833333333,0.027312500000000288,0.7308749999999997,0.26253449500564796,0.0,0.6755625000000002
