Age_kyr,TS_Full_dataset,TS_20kyr_ensemble_mean,TS_20kyr_empirical_lower_95,TS_20kyr_empirical_upper_95,TS_50kyr_ensemble_mean,TS_50kyr_empirical_lower_95,TS_50kyr_empirical_upper_95,TS_100kyr_ensemble_mean,TS_100kyr_empirical_lower_95,TS_100kyr_empirical_upper_95
0,0.008288437629506862,0.027320311105583184,0.002041878361638587,0.07006630969904995,0.0,0.0,0.0,0.0,0.0,0.0
10,0.006235650916924143,0.01790363844131966,0.001552099382280745,0.03255275617722844,0.003298681841437514,0.0,0.024029002228345343,0.0,0.0,0.0
20,0.002862322297490721,0.014288346779793255,0.0008585163652981222,0.029530655952621263,0.004978468302326416,0.0,0.024214346062209725,0.0,0.0,0.0
30,0.005873662898272245,0.009832345490920833,0.0005519820440274369,0.02162753244750555,0.006921792532936414,0.0,0.024214346062209725,0.0,0.0,0.0
40,0.007893743499148547,0.009578341153536264,0.0005983227269479927,0.019777873229104025,0.008862757233280932,0.0,0.024214346062209725,0.0,0.0,0.0
50,0.007509715977318556,0.008007536319903155,0.0006581816035913005,0.016429235063267315,0.00994354727856147,0.000436578739422364,0.024214346062209725,0.0,0.0,0.0
60,0.010224948875255598,0.01006826172432641,0.00301068808632592,0.01569118774951906,0.009972898086208232,0.000436578739422364,0.020150154274202182,0.0011680356847015108,0.0,0.013748392253200075
70,0.00817255304357032,0.008197111136645731,0.0038411239932642513,0.012137896167965274,0.009564689966710825,0.00048142446061854926,0.020068425936583496,0.0015436002457740125,0.0,0.013668639235081985
80,0.00908427147538757,0.009277953283702827,0.002513935720277034,0.01719064454620552,0.010286843228768529,0.0012133457163809845,0.024431518045747724,0.0032342055248326474,0.0,0.020300626236546833
90,0.008294521397965268,0.008619659632431628,0.0004972301177887205,0.018401571783895964,0.010098152179235405,0.00046976625180135363,0.023771319072253813,0.0045580834398315645,0.0,0.022725066770527318
