Method,Random_subsampling_width_kyr,Iteration,MAE,MAPE_percent
TS,50,1,0.0032543828181699624,19475106252434.73
TS,50,2,0.003549704729864177,20360338354888.55
TS,50,3,0.0034205240131793433,17226408669829.379
TS,50,4,0.003430033017348872,22402988262334.33
TS,50,5,0.0034249909724060547,295271881206583.4
TS,50,6,0.0034380824894560623,12442428995005.502
TS,50,7,0.0033444681735275736,111981860948060.84
TS,50,8,0.003497170127361963,111981860948486.38
TS,50,9,0.0032407406306411996,94753882340810.9
TS,50,10,0.0035265272343415715,44400120457470.88
TS,50,11,0.0034048669256849344,111981860948221.27
TS,50,12,0.0035192861883241245,26348673165091.97
TS,50,13,0.0036199055193118783,16938241556684.76
TS,50,14,0.004022613821487251,10781092576563.898
TS,50,15,0.0035800133500803483,27995465237949.395
TS,50,16,0.004094648793068949,54184771427072.28
TS,50,17,0.003746659635522558,19613251765014.895
TS,50,18,0.0035496945053089617,17397943129309.857
TS,50,19,0.0034819509469412482,25595853931557.5
TS,50,20,0.0037216522163779613,16319366495253.088
TS,50,21,0.0034848681046528583,103367871644328.83
TS,50,22,0.003480590688523362,17127196735527.898
TS,50,23,0.004053983404376897,20167581678819.105
TS,50,24,0.0035127918162128472,87985747888086.0
TS,50,25,0.0034950061838786625,12850430152568.572
TS,50,26,0.0035678986644098864,201382857023938.44
TS,50,27,0.003323004055131205,24602041771191.15
TS,50,28,0.003288893462922179,1299945567798.1982
TS,50,29,0.003630738202688498,38309584009365.49
TS,50,30,0.003361181299764236,149309147930532.3
TS,50,31,0.003564646311100053,15715164994496.002
TS,50,32,0.0033102664463967634,41608525605792.33
TS,50,33,0.0034204117892980648,22742975131308.445
TS,50,34,0.0032884470003186725,201382857024307.4
TS,50,35,0.0036129374827276526,8661628259882.961
TS,50,36,0.003198792103110523,111981860948155.52
TS,50,37,0.003574202663004497,70921845268659.44
TS,50,38,0.0037566695985022116,829.8370186100691
TS,50,39,0.003693131454127199,68433359468625.15
TS,50,40,0.0035961636602887584,22742975131383.477
TS,50,41,0.0033792603181703965,45522365496255.99
TS,50,42,0.003637902046691043,53556542193064.13
TS,50,43,0.0036461030504504255,56625468816461.2
TS,50,44,0.003416579608859979,56625468816172.24
TS,50,45,0.003503886036496596,17226408669820.854
TS,50,46,0.003159222954231102,559909304737441.2
TS,50,47,0.003408325185759592,66359621302918.4
TS,50,48,0.003360388084618835,138558068194827.3
TS,50,49,0.0036137847185286243,12005720897276.322
TS,50,50,0.0033248757063023605,254504229427561.22
TS,50,51,0.0034610510510436157,24343882815650.32
TS,50,52,0.003991609953295819,52258201776214.69
TS,50,53,0.0036922252440528863,10213362606498.016
TS,50,54,0.003405916412186683,16319366495245.531
TS,50,55,0.003681235328884948,94753882340832.89
TS,50,56,0.003425434077408708,24705999669049.668
TS,50,57,0.0035056306907690926,73218909082117.77
TS,50,58,0.00344163059332713,23662192198852.32
TS,50,59,0.0035286383040022983,44792744379700.09
TS,50,60,0.0032472528161336233,4479274438751.24
TS,50,61,0.0037724764236891756,49769715977417.37
TS,50,62,0.003493290089813783,25250602954749.723
TS,50,63,0.0036934992328804817,12005720897414.916
TS,50,64,0.003310011617778126,7998704354200.898
TS,50,65,0.003745170202182337,24261379057503.234
TS,50,66,0.004129466741650039,254504229427824.56
TS,50,67,0.003582742809692935,19613251765101.86
TS,50,68,0.0037892423435020757,38664431920619.83
TS,50,69,0.0036573167223604417,28819802541710.137
TS,50,70,0.0034570598030004623,20313679359061.71
TS,50,71,0.0034296621044789324,70921845267532.28
TS,50,72,0.004066492233473928,17280011183296.795
TS,50,73,0.0037464612767178496,35108590108512.438
