Method,Random_subsampling_width_kyr,Iteration,MAE,MAPE_percent
TS,50,1,8.999904154494911e-05,2861919807897.388
TS,50,2,8.81834328853403e-05,2248329076671.8584
TS,50,3,0.00010754785478713224,1473786428022.7744
TS,50,4,9.322114635788858e-05,2038929965155.9077
TS,50,5,8.871729087581908e-05,4447918847699.62
TS,50,6,9.585882730711413e-05,1260764381554.568
TS,50,7,8.716543603103412e-05,3230122082645.3994
TS,50,8,9.172459198801047e-05,2092120357942.5027
TS,50,9,9.142567287055504e-05,2245504683905.307
TS,50,10,9.546057150831566e-05,3220716415841.936
TS,50,11,9.535641617182458e-05,497655293212.11865
TS,50,12,9.311829596392871e-05,3480003745233.4663
TS,50,13,9.73049964573429e-05,209787770827.7069
TS,50,14,8.798123700711907e-05,3276496281401.4937
TS,50,15,8.490532975195294e-05,1236338517249.3318
TS,50,16,8.957308581284708e-05,1408213950745.8928
TS,50,17,9.953166729778668e-05,3365629199958.469
TS,50,18,9.612206151600716e-05,1014815753525.4711
TS,50,19,9.087324622571336e-05,5628778787206.88
TS,50,20,0.00010017650320725254,427544115244.2787
TS,50,21,9.489244660032522e-05,1676362175619.599
TS,50,22,8.364974305482237e-05,820183454665.0039
TS,50,23,8.980260396932744e-05,2671018756185.5845
TS,50,24,9.800407253528194e-05,1139168866178.5571
TS,50,25,9.034208415851182e-05,4042082602242.617
TS,50,26,8.594772246094946e-05,515858357055.6722
TS,50,27,9.136108626017105e-05,863655424702.7699
TS,50,28,8.96440415594452e-05,2373626578095.867
TS,50,29,8.95022775677842e-05,2411335012420.948
TS,50,30,9.48327152183545e-05,1875454501808.427
TS,50,31,9.352996877180437e-05,3487961327033.4463
TS,50,32,9.17248317109559e-05,260909209651.3042
TS,50,33,9.375203659789149e-05,1454395473823.377
TS,50,34,9.794817292917114e-05,1238100974206.8694
TS,50,35,9.081683008853523e-05,203991848148.9358
TS,50,36,9.934722755343663e-05,1464030671237.821
TS,50,37,8.6062484825664e-05,2713600626095.3047
TS,50,38,9.630813583671383e-05,2523348830217.5493
TS,50,39,9.482363952042331e-05,2157314010513.531
TS,50,40,9.354377847132083e-05,1261379686736.7192
TS,50,41,8.820499378396411e-05,2509254099458.0303
TS,50,42,8.985931219360262e-05,3532058662383.032
TS,50,43,9.307165697380261e-05,3571081228411.4463
TS,50,44,9.926186410392181e-05,2834162058381.0884
TS,50,45,9.17241119722482e-05,1252024779668.9136
TS,50,46,8.739066565463002e-05,3001851378739.9614
TS,50,47,8.961003815686703e-05,3852162414529.0327
TS,50,48,9.388417181923595e-05,362367737787.14124
TS,50,49,8.653303864323667e-05,1160947045631.182
TS,50,50,9.491054313180041e-05,924906359237.2744
TS,50,51,0.0001019587660238746,4134037658840.957
TS,50,52,0.0001007740002167162,2783244007058.7383
TS,50,53,9.876082948338099e-05,1606793953922.3318
TS,50,54,9.829723979915159e-05,1488094887355.6538
TS,50,55,8.557308546211826e-05,1159510999480.483
TS,50,56,8.682341135440191e-05,2832581850852.456
TS,50,57,9.15073247450667e-05,2036362337325.152
TS,50,58,9.099918600016736e-05,2437504376982.9336
TS,50,59,8.715376862274734e-05,3180630467380.434
TS,50,60,9.806828578298858e-05,2013993829290.6196
TS,50,61,9.567346195601923e-05,2429043155024.8755
TS,50,62,8.737417799013165e-05,3207102742750.3555
TS,50,63,9.120525559099977e-05,1926228669824.3875
TS,50,64,9.766408139853673e-05,2709661840865.482
TS,50,65,9.250202858414338e-05,173376282041.8972
TS,50,66,8.705119525515923e-05,727492097648.6204
TS,50,67,8.739614214299396e-05,3150637983990.3467
TS,50,68,8.910544443233965e-05,4733380357308.538
TS,50,69,9.225880597937778e-05,848660465945.1162
TS,50,70,9.01064831585907e-05,5935853813874.277
TS,50,71,8.775677719925155e-05,726244359737.3517
TS,50,72,9.932372304672568e-05,3812461603221.199
TS,50,73,8.383627128983579e-05,1004164334344.66
TS,50,74,9.690387999684448e-05,1483091179725.2576
TS,50,75,9.52944223407714e-05,2945586757951.3696
TS,50,76,8.804525860732562e-05,2481340972901.659
TS,50,77,8.819452979177427e-05,906308947034.4211
TS,50,78,9.215205471417386e-05,3016641809139.0527
TS,50,79,9.194384220764263e-05,4067116830650.663
TS,50,80,9.42581967676712e-05,3931407646721.461
TS,50,81,9.10159060749306e-05,3155388343331.734
TS,50,82,9.205899507388575e-05,1168836869375.0269
TS,50,83,8.705036029130603e-05,1886047575036.6104
