Method,Random_subsampling_width_kyr,Iteration,MAE,MAPE_percent
TS,20,1,5.848309447883463e-05,1564641791594.4631
TS,20,2,6.025668818935194e-05,1241880103863.449
TS,20,3,6.219930298200163e-05,2763441130234.351
TS,20,4,6.0810158218039604e-05,812859076701.4756
TS,20,5,5.72159824895773e-05,1042102363831.1082
TS,20,6,6.250768439025572e-05,1831641568456.802
TS,20,7,6.207489067420484e-05,1039679296279.3365
TS,20,8,6.077555034678731e-05,712667794594.4437
TS,20,9,5.834996627198196e-05,1653151935690.1035
TS,20,10,5.859672939693011e-05,936247786469.6812
TS,20,11,5.760229431168448e-05,1551997847924.535
TS,20,12,5.745307581860303e-05,2927405199763.8105
TS,20,13,6.246117915517341e-05,950645100405.8844
TS,20,14,5.930896203310809e-05,1891244248693.7554
TS,20,15,5.953112073680329e-05,1778199756862.8738
TS,20,16,5.8824791950806086e-05,2177482371836.0698
TS,20,17,5.9381910579367346e-05,1636882776324.125
TS,20,18,6.372044005256448e-05,664785226131.6984
TS,20,19,5.6017258653922644e-05,1298358177110.4556
TS,20,20,5.780938955890412e-05,995687253601.6823
TS,20,21,5.7570551550376666e-05,580698696361.632
TS,20,22,5.731466050974133e-05,82.17818881507152
TS,20,23,6.061571678275759e-05,906530763441.079
TS,20,24,5.6262169160399485e-05,1252662219610.5208
TS,20,25,6.004606617398481e-05,1710369419561.9734
TS,20,26,6.0391382649978115e-05,1552424640675.5542
TS,20,27,5.484525779196895e-05,1559420119943.8645
TS,20,28,6.265436819801721e-05,244376023050.0277
TS,20,29,6.059135526499728e-05,713102432887.3936
TS,20,30,5.615934756936362e-05,1113147477781.519
TS,20,31,5.843013842399438e-05,1500443001334.7058
TS,20,32,6.245400888924516e-05,1162456153499.8389
TS,20,33,6.261024136347158e-05,1945257912437.7617
TS,20,34,5.903874230700398e-05,1206062348714.6667
TS,20,35,5.886090046313669e-05,352110570276.4251
TS,20,36,5.9213423989120685e-05,1037938631139.8562
TS,20,37,5.603108027695527e-05,94.69086717973786
TS,20,38,6.380413398043269e-05,2273454691372.1025
