Method,Random_subsampling_width_kyr,Iteration,MAE,MAPE_percent
IBR,50,1,3.7912551823847724e-05,131.13304410012316
IBR,50,2,4.389679716340425e-05,199.60051685855163
IBR,50,3,3.895151906295345e-05,169.33378749167173
IBR,50,4,4.895896250429271e-05,210.77633910654515
IBR,50,5,4.312246302457754e-05,163.37074260503636
IBR,50,6,4.142880643053967e-05,161.74656975367097
IBR,50,7,4.112514317651389e-05,164.40096198229972
IBR,50,8,4.328618555792166e-05,138.21074552527367
IBR,50,9,4.733859996079389e-05,196.61280231278053
IBR,50,10,4.097108596047854e-05,146.88319787054206
IBR,50,11,3.841100695424077e-05,166.04738371147633
IBR,50,12,4.199014111081234e-05,166.15729842181156
IBR,50,13,4.267409467307824e-05,155.1108618248111
IBR,50,14,4.333943916916731e-05,169.2690063207173
IBR,50,15,4.3105701657547854e-05,170.5983886951568
IBR,50,16,3.993237644695097e-05,130.04108675523392
IBR,50,17,3.9562913460330575e-05,172.95318912436463
IBR,50,18,4.123555244523657e-05,140.15626954861656
IBR,50,19,4.26555816223477e-05,135.35186000849527
IBR,50,20,4.285155506178643e-05,183.40453961726416
IBR,50,21,3.807565723506232e-05,157.03830674003464
IBR,50,22,3.983120722766329e-05,162.7001265651593
IBR,50,23,4.32734598352662e-05,161.9115434283433
IBR,50,24,4.3005521129709195e-05,160.75706353514246
IBR,50,25,4.157805312345699e-05,164.2988642394902
IBR,50,26,4.927797000275364e-05,226.6697773577947
IBR,50,27,4.721524618521222e-05,146.38430395043304
IBR,50,28,4.3271136390468445e-05,164.12150481787845
IBR,50,29,4.432157884558099e-05,179.9860615101828
IBR,50,30,4.205280879698917e-05,135.16316770210634
IBR,50,31,3.847755436873759e-05,127.00736031656427
IBR,50,32,4.380570998867998e-05,149.6799500358107
IBR,50,33,3.935233424124159e-05,156.770353036981
IBR,50,34,4.3520617388159534e-05,155.20906822481913
IBR,50,35,4.911393661583652e-05,226.2251883655447
IBR,50,36,4.4345688208745515e-05,185.32821087498573
IBR,50,37,3.7659154054613914e-05,150.64087524393562
