Method,Random_subsampling_width_kyr,Iteration,MAE,MAPE_percent
IBR,20,1,0.0005489230291507874,2143.729133517238
IBR,20,2,0.0005507219694993847,1654.7056845965444
IBR,20,3,0.0005494233144646086,1763.0118287456266
IBR,20,4,0.0005521396816271385,1313.1657872429498
IBR,20,5,0.0005468484846540863,1186.5781149981326
IBR,20,6,0.000546215054700394,1393.3746646746456
IBR,20,7,0.0005288247256694832,1266.561419339035
IBR,20,8,0.0005640688879686388,1600.2113721219112
IBR,20,9,0.0005149350053681997,1821.0853057875731
IBR,20,10,0.0005385219866227484,652.7306815594745
IBR,20,11,0.000561848044435179,1714.927920561269
IBR,20,12,0.0005515993858084089,803.4861307040242
IBR,20,13,0.0005323000747787592,1312.1196059856934
IBR,20,14,0.0005515882300140976,988.39799503449
IBR,20,15,0.0005179228901090947,682.0294248374821
IBR,20,16,0.0005572083133904282,1681.2451259735237
IBR,20,17,0.0005526235888306149,1718.0685634610693
IBR,20,18,0.0005619335073442234,2931.8326626900894
IBR,20,19,0.0005380894268213948,1199.948648730829
IBR,20,20,0.0005499772385934847,2021.0861120382795
IBR,20,21,0.0005426563074452427,2340.3307069029024
IBR,20,22,0.0005647347311104517,1053.3447543249674
IBR,20,23,0.0005669245269170199,1003.3711680801862
IBR,20,24,0.000552980989913878,1361.49881907651
IBR,20,25,0.0005578007244778214,880.2076683998255
IBR,20,26,0.0005560955509327944,1525.2060889202903
IBR,20,27,0.0005521319176773973,1607.6122264065461
IBR,20,28,0.0005387989399548555,840.3699814489739
IBR,20,29,0.0005383408517058302,1423.7872428892924
IBR,20,30,0.0005651625985236108,1679.9045082950677
IBR,20,31,0.0005520343849870267,1076.307195515586
IBR,20,32,0.0005429379598899446,1253.1214654628116
IBR,20,33,0.0005461484968621625,1020.5645212126319
IBR,20,34,0.0005285960472622669,688.3478026929458
IBR,20,35,0.0005471542510901639,942.8457933888883
IBR,20,36,0.0005462281582191589,1660.9385068185422
IBR,20,37,0.0005477383770503074,2116.4585574447738
IBR,20,38,0.0005169831355444696,1309.7580972001165
IBR,20,39,0.0005391024385186137,1263.5910426023304
IBR,20,40,0.0005255659463860665,918.0913718956036
IBR,20,41,0.0005539854497942819,1135.7343835929296
IBR,20,42,0.0005455275965694316,2050.5496860211997
IBR,20,43,0.0005615960482328668,1173.9710842915977
IBR,20,44,0.0005609639023809055,960.6206737388417
IBR,20,45,0.0005382654560302204,1159.944051680341
IBR,20,46,0.0005364824362091853,882.8615089622959
IBR,20,47,0.0005478841974150732,1430.0820320447444
IBR,20,48,0.000543505959948025,574.2063415368406
IBR,20,49,0.0005449151991092268,2039.949572168735
IBR,20,50,0.000549800171424852,1417.3154050679057
IBR,20,51,0.0005837331921383127,1135.4233330344687
IBR,20,52,0.0005411906931655283,862.3739903379869
IBR,20,53,0.0005548924532071267,1776.9899023140515
IBR,20,54,0.0005510544402300885,1205.0305721429133
IBR,20,55,0.000539500088496703,2608.198564690652
IBR,20,56,0.0005533184063953149,814.4659496917349
IBR,20,57,0.0005216527282298805,850.5224487653182
IBR,20,58,0.0005530143816749363,1125.719004588124
IBR,20,59,0.0005390090316647077,1373.1076443390082
IBR,20,60,0.0005404225097692161,1000.5006655689828
IBR,20,61,0.0005480534279001792,1268.2821606844338
IBR,20,62,0.0005552383416884854,1311.225854648735
IBR,20,63,0.0005350558874890936,997.2811354882767
IBR,20,64,0.0005354373508226872,1026.718895878971
IBR,20,65,0.0005470411673966849,1269.71064386802
IBR,20,66,0.0005472839178703019,1017.3607907227039
IBR,20,67,0.0005609308230224966,1560.7068966156849
IBR,20,68,0.0005579584454687282,1356.9653124811255
IBR,20,69,0.000526397998426064,1190.0276609267007
IBR,20,70,0.0005323953339463906,1651.3178383168838
IBR,20,71,0.0005385298060316768,1192.484109950815
IBR,20,72,0.0005455587565595553,794.5406799337752
IBR,20,73,0.0005236964581396954,685.0172758248897
IBR,20,74,0.0005597557225978528,1092.804139022965
IBR,20,75,0.0005435828245259749,1259.284001357381
IBR,20,76,0.0005295175590611483,1001.9386996981357
IBR,20,77,0.0005545493497294672,1660.6113583274469
IBR,20,78,0.0005304236001508453,1337.1563044856568
IBR,20,79,0.0005765151781043076,751.1109129477901
IBR,20,80,0.0005091802077887654,944.436334242965
IBR,20,81,0.0005337882379520018,983.1936491280889
IBR,20,82,0.0005427173116509411,1734.1903857436712
IBR,20,83,0.0005291490896118454,2233.799383312134
IBR,20,84,0.0005763187847883249,1317.5732929730211
IBR,20,85,0.0005458168944985044,1726.213367799176
IBR,20,86,0.0005176860437656748,1563.1407282879188
IBR,20,87,0.0005468784418811386,927.3533186811427
IBR,20,88,0.000542681975991774,1305.0508163180227
IBR,20,89,0.0005448478585641346,1021.2847751017126
IBR,20,90,0.0005290995099376741,1477.081315235256
IBR,20,91,0.0005458723257169502,909.3958425405241
IBR,20,92,0.0005297135604820645,1769.7123803540528
IBR,20,93,0.0005178274262520764,1619.8340492540726
IBR,20,94,0.0005569594229003843,824.7415210189583
IBR,20,95,0.0005562201657514362,1366.5032903438305
IBR,20,96,0.0005485859949910602,1681.2922603532222
IBR,20,97,0.0005622743122630342,931.0101283915831
IBR,20,98,0.0005386337094786296,1692.7468242824655
IBR,20,99,0.0005402994737975925,822.6551841390476
IBR,20,100,0.0005230099450835771,1050.226607957215
IBR,20,101,0.0005363350171580939,1253.0971656018169
IBR,20,102,0.0005454733156302655,2417.138754638757
IBR,20,103,0.0005405287870419588,1501.4628861784408
IBR,20,104,0.0005464309205365338,1015.6448767442976
IBR,20,105,0.0005550798465653827,1321.2443263280109
IBR,20,106,0.0005499433119964072,1779.3711256346594
IBR,20,107,0.0005547485759237116,1102.995847050873
IBR,20,108,0.0005353388088246619,983.5295779601207
IBR,20,109,0.0005568858537200898,1202.0610754526354
IBR,20,110,0.0005557752904013779,1180.9121700454932
IBR,20,111,0.0005514301538456616,1274.4725819806831
IBR,20,112,0.0005690023086638695,2659.000659434819
IBR,20,113,0.0005157344628194866,1300.645777624389
IBR,20,114,0.0005677704572635241,1866.7994704401121
IBR,20,115,0.0005514346299414327,1773.309173336812
IBR,20,116,0.0005330802990421756,793.9655521774397
IBR,20,117,0.0005484796366940289,1200.3822872897474
IBR,20,118,0.0005384741472995964,2362.440086285487
IBR,20,119,0.0005491064109042947,1627.915267040137
IBR,20,120,0.000536835248971752,1094.2777916214018
IBR,20,121,0.0005330696968539533,1109.0062973934496
IBR,20,122,0.0005375880607073789,2383.2305864100867
IBR,20,123,0.0005505349164239666,769.9485024816764
IBR,20,124,0.0005488289345529862,1528.6736934029707
IBR,20,125,0.0005410207865330101,689.665331089744
IBR,20,126,0.0005541737623100699,3415.1911701711747
IBR,20,127,0.0005225284659071709,1533.5464697250777
IBR,20,128,0.000548067022158735,1296.5542415522234
IBR,20,129,0.0005304705365154217,1374.4554932480185
