Method,Random_subsampling_width_kyr,Iteration,MAE,MAPE_percent
IBR,100,1,5.755540727361354e-05,289.4377063270695
IBR,100,2,5.3957737163584025e-05,213.10511840828025
IBR,100,3,5.881127328842026e-05,286.7770160580549
IBR,100,4,4.7658354446234295e-05,204.9460813422472
IBR,100,5,4.772594949570501e-05,212.6266323016858
IBR,100,6,5.4064696299665545e-05,208.0694608728139
IBR,100,7,5.490445183222128e-05,171.10020456937264
IBR,100,8,5.5346211353396774e-05,271.62457163654324
IBR,100,9,6.336044681110483e-05,198.7345511750524
IBR,100,10,5.7006400648734915e-05,240.4557345696605
IBR,100,11,5.530068846394995e-05,260.8899740943446
IBR,100,12,5.75910682601936e-05,258.95362211116105
IBR,100,13,6.1130387371431e-05,219.764330644523
IBR,100,14,5.5696147985643864e-05,245.18916576362298
IBR,100,15,6.195344376016701e-05,303.5740990308636
IBR,100,16,5.7151177948826324e-05,292.14832413357436
IBR,100,17,5.424936553497408e-05,182.80477721510186
IBR,100,18,5.469938739085232e-05,207.3808597049335
IBR,100,19,5.905300000284081e-05,286.4674931345607
IBR,100,20,6.379929205939833e-05,261.32930988429655
IBR,100,21,5.217504893126221e-05,277.47962855699757
IBR,100,22,5.43389092014744e-05,198.89064980661294
IBR,100,23,5.4935937029447024e-05,272.4182202285063
IBR,100,24,5.5349878252573614e-05,204.79334985882187
IBR,100,25,5.6176271442752626e-05,165.1551961468276
IBR,100,26,5.8011759557576446e-05,234.933174130571
IBR,100,27,5.052738747955719e-05,229.965615591068
IBR,100,28,5.2269467560726393e-05,207.60057240183963
IBR,100,29,5.4666615727545164e-05,164.2889047757148
IBR,100,30,6.079386579933208e-05,289.2904527750296
IBR,100,31,5.3510623502874894e-05,220.0164205383862
IBR,100,32,5.769165670311119e-05,249.09481983318818
IBR,100,33,5.737259912981225e-05,256.12183343429575
IBR,100,34,5.49712705588417e-05,202.86490157247718
IBR,100,35,6.145706553604429e-05,218.01726989805533
IBR,100,36,6.311650907656145e-05,291.54279250666787
IBR,100,37,5.2787188525995265e-05,249.5212020642318
IBR,100,38,5.8085909717890615e-05,239.63493735661854
IBR,100,39,5.921518564000801e-05,249.14292232034322
IBR,100,40,5.382116252850842e-05,192.31249269442446
IBR,100,41,5.3288545163619335e-05,209.30075487207253
IBR,100,42,5.758737422165904e-05,289.36716318741446
IBR,100,43,5.641918976763931e-05,339.38818932904076
IBR,100,44,5.767168500973118e-05,212.80536136140444
IBR,100,45,5.6051515579433716e-05,168.83698461214337
IBR,100,46,5.343802868919998e-05,252.6729317233296
IBR,100,47,5.640441973368765e-05,203.91618692693777
IBR,100,48,6.130719223893797e-05,325.1557555443138
IBR,100,49,6.673959936239141e-05,334.83853613098654
IBR,100,50,5.64631286640137e-05,197.36913180521813
IBR,100,51,5.9719315582781155e-05,193.27214623359018
IBR,100,52,5.499969324854071e-05,319.76593317740577
