Method,Random_subsampling_width_kyr,Iteration,MAE,MAPE_percent
IBR,50,1,0.0010844999030582266,2088.664307695492
IBR,50,2,0.0009572072693427873,1815.967706761874
IBR,50,3,0.0009628477167129678,1763.462998248524
IBR,50,4,0.0009754281987917719,4136.214382838513
IBR,50,5,0.0009894651736371436,2832.1622872003722
IBR,50,6,0.000938339484184319,3183.1984154605843
IBR,50,7,0.0009935475640686165,3581.137587606395
IBR,50,8,0.0010142250470571979,4764.376392317592
IBR,50,9,0.0010105676563234996,1948.2147964460707
IBR,50,10,0.0009852813454623156,1600.8367719136952
IBR,50,11,0.0010574719266275973,1154.0966604212692
IBR,50,12,0.0010239804455488956,3511.194889119813
IBR,50,13,0.000941498266758964,2575.4181872752993
IBR,50,14,0.001003708195567798,1297.9513691357554
IBR,50,15,0.001013957915933108,4151.258410158236
IBR,50,16,0.0010180751119661551,2986.3894270815913
IBR,50,17,0.0009861796469377486,1589.4050872961502
IBR,50,18,0.0009779783075834186,2044.9257688139571
IBR,50,19,0.0010168367789936703,3432.486507062125
IBR,50,20,0.0009615481418652752,2822.0123262057214
IBR,50,21,0.0009766867292868408,1770.565436370947
IBR,50,22,0.0009906587930645118,5284.993271208415
IBR,50,23,0.0009458608574592663,1873.6526057271196
IBR,50,24,0.0009602269077103894,1766.6494268546835
IBR,50,25,0.0010023122207415047,2663.482351564607
IBR,50,26,0.0010028241962134728,1574.2019145769236
IBR,50,27,0.0009766351432235088,2234.68947499916
IBR,50,28,0.0009816591781628367,3397.7329946063833
IBR,50,29,0.0009462500152424877,3263.3743331383207
IBR,50,30,0.0010004632375412393,1548.8385900449873
IBR,50,31,0.0009715017347350813,2210.2187842534836
IBR,50,32,0.0010139131779474907,2399.3972261328577
IBR,50,33,0.0010213587537370177,2527.939063518453
IBR,50,34,0.001037011287214361,2648.938053374894
IBR,50,35,0.0009809369250631174,1385.9545005712266
IBR,50,36,0.0010074473215096564,1650.0975755457052
IBR,50,37,0.0010171606426325056,1558.6045024946561
IBR,50,38,0.0009579269977570787,1635.5885494100032
IBR,50,39,0.0009977485737178652,2296.2424883216804
IBR,50,40,0.001009224875388319,1675.9370715525258
IBR,50,41,0.0010200306756404,3667.1838498227935
IBR,50,42,0.0010276138095013957,1897.4130544813288
IBR,50,43,0.0009946570087339705,1197.6380597954376
IBR,50,44,0.0010177643246356387,1424.554606821164
IBR,50,45,0.000982121435196445,2965.548747576917
IBR,50,46,0.000988715858241277,3727.259097837308
IBR,50,47,0.0010324457828731577,1603.082423124075
IBR,50,48,0.0009808981318072088,3274.698050251695
IBR,50,49,0.000991660624317023,2937.7120418392956
IBR,50,50,0.001087752519051572,2327.4189620355833
IBR,50,51,0.0009618769833363314,4000.9716421795524
IBR,50,52,0.0010082222456341827,2183.185982916298
IBR,50,53,0.0009720165703000748,3225.3109368142723
IBR,50,54,0.0009832427372086054,2168.668950150155
IBR,50,55,0.0009966329724877155,1656.2882944124262
IBR,50,56,0.0011115212162467172,3328.170260873531
IBR,50,57,0.0009933381366534968,2030.2972567944369
IBR,50,58,0.0009798137692292705,3407.70515249655
IBR,50,59,0.0010163164003139694,2161.8297030355034
IBR,50,60,0.000987759864842012,2102.292181213609
IBR,50,61,0.0009875758724230182,4114.895508354202
IBR,50,62,0.0009675091326094821,2615.564775651802
IBR,50,63,0.001014092082319402,3578.969310781722
IBR,50,64,0.0009798033558837825,3247.519376734003
IBR,50,65,0.0010039167205624683,2225.863844061436
IBR,50,66,0.001011660063930918,2642.0761185731544
IBR,50,67,0.0009863745661853958,3847.6150600120304
IBR,50,68,0.00097780199515353,2433.6204191121715
IBR,50,69,0.0010175936159044995,6028.662761105383
IBR,50,70,0.0010056467460825588,2238.5933000409586
IBR,50,71,0.001002437447638002,2524.0344683287294
IBR,50,72,0.0009937377016865068,1369.8594552412221
IBR,50,73,0.0010060926005177279,2833.7348546188605
IBR,50,74,0.0009548015963798774,4905.836605560673
IBR,50,75,0.0009956829577031697,2775.9108030134294
IBR,50,76,0.0009891156737077374,1921.6687901896269
IBR,50,77,0.0009650578793307756,2723.877369980534
IBR,50,78,0.000951040404899079,2880.9243532762443
IBR,50,79,0.0009999910074581357,1993.196302379316
IBR,50,80,0.0009507269639993275,1932.1381427731228
IBR,50,81,0.0009774236351276474,2174.285748568794
IBR,50,82,0.0010004878489444273,3384.9643505910635
IBR,50,83,0.0009758722496540861,1804.102878320292
IBR,50,84,0.000970234887256191,3577.3089542599237
IBR,50,85,0.0009518840230013129,1836.6288941333419
IBR,50,86,0.0010368849876589926,2465.509378514047
IBR,50,87,0.0010184865927536377,2015.8059288700833
IBR,50,88,0.0009318226017918261,1523.8601952142708
IBR,50,89,0.0009591203227616768,3374.3624522997757
IBR,50,90,0.0009651166847190584,3083.5346516907653
IBR,50,91,0.0009953377579407622,2615.599792498109
IBR,50,92,0.0009738656748485427,1372.0350685205242
IBR,50,93,0.0010313867858241699,3699.3415041325406
IBR,50,94,0.0009491161540916352,2079.670439809921
IBR,50,95,0.0009311178066331253,2035.4097856018611
IBR,50,96,0.000993076285066888,1796.9457485931773
IBR,50,97,0.000995524405478606,1401.916664035164
IBR,50,98,0.0009721188765104208,1804.8216025811098
IBR,50,99,0.0009877816200758553,1685.6502369004354
IBR,50,100,0.0010067948258420604,1567.6670793610915
IBR,50,101,0.000956913764484202,2362.6558988962884
IBR,50,102,0.0010193395895588655,2914.02925255115
IBR,50,103,0.0009411939205603215,1532.0183228757107
IBR,50,104,0.0010035349832590566,1743.7041771969064
IBR,50,105,0.0009485862928886124,3241.875063262426
IBR,50,106,0.0009897186142050693,1837.1512935087683
IBR,50,107,0.0010394796993831348,3674.1777957829654
IBR,50,108,0.0009573309812561034,2210.6194903556157
IBR,50,109,0.0009729654223026152,2384.9718117820794
IBR,50,110,0.0010143473225166866,2345.0566055334707
IBR,50,111,0.0009892626087636565,1830.422508980244
IBR,50,112,0.000996009560279673,2602.276052155473
IBR,50,113,0.0009689117150178459,2510.1472057377723
IBR,50,114,0.0009609805118799996,2463.951477548319
IBR,50,115,0.000969722028087149,2493.737742446723
IBR,50,116,0.0009698664161661655,2496.3581311169096
IBR,50,117,0.000957606883853576,1841.2374998943533
IBR,50,118,0.0010078719399797065,2229.5228856872127
IBR,50,119,0.0009463954916430702,3716.7283346094487
IBR,50,120,0.0010162404863512525,2692.288854528124
IBR,50,121,0.0009278465601783724,3337.8776422502197
IBR,50,122,0.0009869792420143322,1816.04908248924
IBR,50,123,0.0009722106277259779,3029.074989467081
IBR,50,124,0.0009941283173938037,1720.7930204481324
IBR,50,125,0.0009542607447252393,1769.8958509718989
IBR,50,126,0.0009744519515306216,1358.1984114257186
IBR,50,127,0.0010595127273514563,1893.2445367261032
IBR,50,128,0.0009591595578914375,4162.4700763890805
IBR,50,129,0.0009938670259218472,3745.769980004249
IBR,50,130,0.0009846294042215415,3244.8669027139304
IBR,50,131,0.0009508286550797191,3406.0645889621746
IBR,50,132,0.0010055430439368602,1766.6684728040718
IBR,50,133,0.0009541392840555533,7065.835393483545
IBR,50,134,0.0010265891841141207,2763.031443312766
IBR,50,135,0.001018748713439269,1696.510903037424
IBR,50,136,0.0010129800051049262,4803.326736485915
IBR,50,137,0.0010178145576244357,4062.0774725592637
IBR,50,138,0.000989061962371371,2026.7879265333295
IBR,50,139,0.0010289065524643802,3952.941493265137
IBR,50,140,0.0010241421354832924,3025.94938431992
IBR,50,141,0.0009569930204302479,2169.111189097541
IBR,50,142,0.0009823217131831145,2451.8898872912246
IBR,50,143,0.0009947613119767758,2627.438074085541
IBR,50,144,0.0009747555197957107,1829.991096691517
IBR,50,145,0.0010438466541198934,1650.1035463708997
IBR,50,146,0.0009840925593023922,1084.8992937074856
IBR,50,147,0.0010270342460196931,3955.5825373391817
IBR,50,148,0.000989157601980629,1722.2905069855394
IBR,50,149,0.0009974011295537607,3547.942924671193
IBR,50,150,0.0009750050454187029,2747.6932843782906
IBR,50,151,0.0010573373503536404,2857.4645085521547
IBR,50,152,0.0009789969820284195,3170.60306920681
IBR,50,153,0.0010000553232550361,2235.483472828222
IBR,50,154,0.0009698232653709474,2028.5874560471175
IBR,50,155,0.0009975176293893725,1881.0104628669767
IBR,50,156,0.0009620900013870959,2182.55070920292
IBR,50,157,0.00100532216001879,8305.876786367337
IBR,50,158,0.000974340687521869,2160.8598823006696
IBR,50,159,0.0009705916703240633,2075.667700086122
IBR,50,160,0.0010112786051581814,2226.0402150866785
IBR,50,161,0.0010195254962322526,2375.1117494084897
IBR,50,162,0.0009645416352504391,1936.6228096633852
IBR,50,163,0.0009884291109526274,2579.4767988599906
IBR,50,164,0.0010270150414391967,1496.1743634142738
IBR,50,165,0.0009924778522118387,1238.2909338098464
IBR,50,166,0.0009616332199082115,1826.0775376366832
IBR,50,167,0.0009814587615234365,1535.943439510791
IBR,50,168,0.0009548441896647003,2377.321280671783
IBR,50,169,0.000983123106050562,4952.82872166802
IBR,50,170,0.0009666655046925498,2624.6974104338465
IBR,50,171,0.0009944930813118678,2037.2642398299527
IBR,50,172,0.0010334415189704822,3771.4829369284084
IBR,50,173,0.0009868470831259303,1947.905200215211
IBR,50,174,0.0009786041828662453,3845.598362945791
IBR,50,175,0.0010029350555021545,3852.4721521542388
IBR,50,176,0.0009764632398960096,3625.3202173781724
IBR,50,177,0.0009588031864374893,2981.7716748575685
IBR,50,178,0.0009368489621520313,2500.5749376231743
IBR,50,179,0.0009852438705873858,1836.431586580466
IBR,50,180,0.0009663231885945464,1833.4497415196217
IBR,50,181,0.0009214738393312552,1623.4510404683244
IBR,50,182,0.0010434445327237626,2628.63979787526
IBR,50,183,0.0010492939300016935,2289.5340692126724
IBR,50,184,0.0009647101274596237,2393.807022842443
IBR,50,185,0.0010026152028288881,2805.3178562964445
IBR,50,186,0.0009918969314217459,2945.0966479034614
IBR,50,187,0.0010234771157954913,2223.138609000893
IBR,50,188,0.0010002217865999377,2772.3331146958135
